Timestamp,Device,Message
2025-01-15 17:19:13.783043,Gateway,BTX
2025-01-15 17:19:13.836717,Nodo,BRX
2025-01-15 17:19:17.696212,Nodo,RTX
2025-01-15 17:19:17.717822,Gateway,RRX
2025-01-15 17:19:21.672302,Gateway,RRX
2025-01-15 17:19:24.141439,Gateway,STX
2025-01-15 17:19:24.209792,Nodo,SRX
2025-01-15 17:19:34.356067,Gateway,DRX
2025-01-15 17:19:34.415963,Nodo,DTX
2025-01-15 17:19:39.579082,Gateway,DRX
2025-01-15 17:20:55.235246,Gateway,BTX
2025-01-15 17:20:55.289669,Nodo,BRX
2025-01-15 17:20:57.477626,Nodo,RTX
2025-01-15 17:20:57.509119,Gateway,RRX
2025-01-15 17:21:01.261565,Gateway,RRX
2025-01-15 17:21:05.591381,Gateway,STX
2025-01-15 17:21:05.647622,Nodo,SRX
2025-01-15 17:21:15.800011,Gateway,DRX
2025-01-15 17:21:15.847366,Nodo,DTX
2025-01-15 17:21:21.024837,Gateway,DRX
2025-01-15 17:22:36.685443,Gateway,BTX
2025-01-15 17:22:36.744012,Nodo,BRX
2025-01-15 17:22:39.450888,Nodo,RTX
2025-01-15 17:22:39.482789,Gateway,RRX
2025-01-15 17:22:42.976948,Gateway,RRX
2025-01-15 17:22:47.036437,Gateway,STX
2025-01-15 17:22:47.072162,Nodo,SRX
2025-01-15 17:22:57.253265,Gateway,DRX
2025-01-15 17:22:57.278904,Nodo,DTX
2025-01-15 17:23:02.572032,Gateway,DRX
2025-01-15 17:24:18.133679,Gateway,BTX
2025-01-15 17:24:18.177112,Nodo,BRX
